epoch,lr,train_loss,train_pixel_acc,train_macro_f1,val_loss,val_pixel_acc,val_macro_f1,best_val_macro_f1,improved,val_Eagle_TP,val_Eagle_FP,val_Eagle_FN,val_Eagle_precision,val_Eagle_recall,val_Eagle_f1,val_Laptop_TP,val_Laptop_FP,val_Laptop_FN,val_Laptop_precision,val_Laptop_recall,val_Laptop_f1,val_Dog_TP,val_Dog_FP,val_Dog_FN,val_Dog_precision,val_Dog_recall,val_Dog_f1
1,0.0003,1.0915741395950318,0.7983096998565051,0.2821495227301137,0.9759280336075935,0.7555957212430426,0.38891637415304986,0.38891637415304986,1,0,0,887807,0.0,0.0,0.0,2620720,6437895,584361,0.28930691943525555,0.817676682742181,0.4273948043600513,9290834,2732384,3818239,0.772741041541457,0.7087331041638103,0.7393543180990982
2,0.0003,0.9718990799358913,0.8349867181805758,0.3388241722318359,0.9882682181786799,0.8285416243912338,0.33955494841618,0.38891637415304986,0,0,0,887807,0.0,0.0,0.0,454856,89544,2750225,0.8355180014694924,0.1419171621559638,0.24262344326931148,10668961,3717821,2440112,0.741580778800985,0.8138608275352492,0.7760414019792286
3,0.0003,0.9390703167234148,0.8512836244989067,0.3689705732809136,0.9120443178259808,0.8515085263508813,0.4730578029352259,0.4730578029352259,1,0,0,887807,0.0,0.0,0.0,1997420,1288365,1207661,0.6078973517743839,0.6232042185517289,0.6154556214148736,10533312,2569084,2575761,0.8039225802669979,0.8035131088216529,0.8037177873908041
4,0.0003,0.9153168845176697,0.8555072751059128,0.3943814614270951,0.8915796893230383,0.8562169708082097,0.488603379724871,0.488603379724871,1,0,0,887807,0.0,0.0,0.0,1839793,551300,1365288,0.7694359859695932,0.5740238702235589,0.6575181494733916,11622178,4026124,1486895,0.7427117651487039,0.886575122436193,0.8082919897012214
5,0.0003,0.9074783200877053,0.8652950756195336,0.418792607362215,0.8992718872816666,0.8510495963300093,0.486847639891588,0.488603379724871,0,3,2,887804,0.5999999988,3.3791128026699116e-06,6.758187431573833e-06,1989546,454826,1215535,0.813929303722998,0.6207474943690952,0.7043322552227402,9181308,1992244,3927765,0.8217000287822522,0.7003781274236549,0.7562039062645923
6,0.0003,0.8675319932188307,0.8802013306019952,0.47490986099798826,0.8581368905910547,0.8551877029220779,0.6277228249423272,0.6277228249423272,1,536190,1230048,351617,0.3035774340717372,0.6039488312211932,0.4040549380976865,1988414,556013,1216667,0.7814781088237125,0.6203943051673246,0.6916814398087651,10346646,2823743,2762427,0.7855991193578256,0.789273658022958,0.7874320969205302
7,0.0003,0.8580021238327027,0.8741827766262755,0.508802028857701,0.8341999572256337,0.8639413627666976,0.673127642503989,0.673127642503989,1,386510,251225,501297,0.6060667832249977,0.43535362978664915,0.5067182631335244,2300396,791859,904685,0.7439218305088011,0.7177341227881582,0.7305933760757586,9514625,1708163,3594448,0.8477951289822094,0.7258045629923636,0.7820712883026842
8,0.0003,0.8483811633075986,0.8783183871344297,0.5375792096051707,0.8147634008656377,0.8747163801600185,0.6780031334507975,0.6780031334507975,1,452070,533171,435737,0.45884204981318827,0.509198508234329,0.4827105288599611,2152272,423489,1052809,0.835586842102195,0.6715187541282087,0.7446223182433154,10425314,2313182,2683759,0.818410116861519,0.7952746925736086,0.8066765532491162
9,0.0003,0.8157624235323497,0.8931666462622996,0.5795183093973713,0.8685093582540319,0.8614482838589982,0.6569601196636436,0.6780031334507975,0,306447,77194,581360,0.798785844057314,0.3451729936799288,0.48204409039326235,2367934,1418133,837147,0.6254337284575243,0.7388062891390241,0.6774091987876177,10970462,2960386,2138611,0.7874941999223588,0.83686024175775,0.8114270698100507
10,0.0003,0.7982991168328694,0.8961558207965106,0.6002451234510681,0.90920589108398,0.8420644422541744,0.5904805955875746,0.6780031334507975,0,467386,1581208,420421,0.22814964800248255,0.5264500054628931,0.3183393506582851,2174368,777956,1030713,0.7364936910718447,0.6784128076638292,0.7062611553511323,9136245,2221045,3972828,0.8044388229938649,0.6969405845859576,0.7468412807533064
11,0.0003,0.7994037204129355,0.8999272418230685,0.60169314759348,0.8289075666579647,0.8491106758754638,0.6477205659150725,0.6780031334507975,0,435975,592590,451832,0.42386723250353237,0.4910695680480049,0.45500038117329233,2708408,1195477,496673,0.6937724856136882,0.8450357416864009,0.7619695979413341,8171720,1224889,4937353,0.8696456349306427,0.6233636810169563,0.7261917186305911
12,0.0003,0.7825967673744474,0.9037682785167639,0.6354411728992279,0.8386266883732616,0.8676925223214286,0.6978537721914947,0.6978537721914947,1,641116,770013,246691,0.45432841363191845,0.7221344278655076,0.5577501892618781,2609229,1222568,595852,0.6809413442309166,0.8140914379386954,0.7415871022767025,9745603,1686518,3363470,0.8524754942674235,0.7434242680622797,0.7942240250359035
13,0.0003,0.7463367265462876,0.9141601598089012,0.6670099529765748,0.8093693334123363,0.8758724018726809,0.7093447193616335,0.7093447193616335,1,662897,515574,224910,0.5625059929349083,0.7466679131838254,0.6416338894732636,1712765,240630,1492316,0.8768144691677777,0.5343905505040262,0.664058527310429,11208275,2942061,1900798,0.7920854317522914,0.8550013414373383,0.8223417413012077
14,0.0003,0.7517561441659928,0.9109092672364705,0.667286290327409,0.8187768156977667,0.8907759232954545,0.6829739488878698,0.7093447193616335,0,279743,33624,608064,0.892700890648955,0.3150943842524297,0.4657826387914649,2240166,700849,964915,0.7616982572343196,0.6989420860190407,0.728972012367889,11550467,2385439,1558606,0.8288278494415786,0.8811047890266529,0.8541671955042555
15,0.0003,0.7067598954268864,0.9220822277013484,0.7147034721535966,0.8204729937124944,0.883591485244666,0.7396231574491349,0.7396231574491349,1,427304,16069,460503,0.963757378099231,0.4813028056773546,0.6419928139590373,2046280,297917,1158801,0.8729129847022206,0.6384487630733806,0.7374941339974965,12289280,3883362,819793,0.7598807912770216,0.9374636940384717,0.8393825243908707
16,0.0003,0.7248751384019851,0.9165630480707908,0.7009779380637555,0.7441667979178221,0.8951884276437848,0.7674502542868283,0.7674502542868283,1,682687,329546,205120,0.674436616865873,0.7689587939721046,0.718602761278987,2042925,351538,1162156,0.8531871237935151,0.6374019876564723,0.7296754829659364,11697774,2586082,1411299,0.8189507091082403,0.8923418154739081,0.8540725186155614
17,0.0003,0.7027692002909524,0.9260985082509566,0.7078002465994677,0.7524942712507386,0.8820859483708257,0.7699226656607947,0.7699226656607947,1,663095,211995,224712,0.7577449176656028,0.7468909346288016,0.7522787724898045,2428038,1068337,777043,0.6944443888312876,0.757559013329146,0.7246299858651635,10913252,2184389,2195821,0.8332227154492929,0.8324960887775964,0.832859238627416
18,0.0003,0.6902212891408376,0.9257443335174471,0.7197153078942223,0.7341477244660475,0.9011073566500464,0.7850892296891813,0.7850892296891813,1,558216,72597,329591,0.884915180885605,0.6287582774183957,0.7351621818653375,2181718,348010,1023363,0.8624318503807491,0.6807060414385763,0.7608685784868514,11586496,2273700,1522577,0.8359547007848945,0.8838531908396567,0.8592369287153552
19,0.0003,0.6839226026194436,0.9310370139964468,0.7391820584437547,1.3107574772143709,0.7481723062094155,0.41307435016706445,0.7850892296891813,0,716871,8821264,170936,0.07515840360825249,0.8074626579875941,0.13751678109813556,1732259,315138,1472822,0.8460787038371119,0.5404727680829267,0.6595968560008071,4337146,2174019,8771927,0.6661090603601649,0.33085070164762964,0.4421094134022507
20,0.0003,0.6472897809743882,0.9384246808377369,0.8006716258909083,0.8005232517270074,0.8878019009450371,0.714403297695653,0.7850892296891813,0,430647,64584,457160,0.8695881315991755,0.48506826371046313,0.6227551185447993,1728495,224485,1476586,0.8850551464940711,0.53929838278658,0.6702111463453799,12177140,3357671,931933,0.7838614837348193,0.9289093134197964,0.85024362819678
