metric,value
pixel_accuracy,0.9018935845822699
macro_f1_selected_classes,0.8729781416285038

class_name,TP,FP,FN,precision,recall,f1
Eagle,267770,18804,31075,0.9343834402283202,0.8960163295353478,0.9147977723206331
Laptop,1547862,227418,318225,0.871897390834117,0.8294693655761985,0.8501543463771905
Dog,4035952,822447,557723,0.8307164561823743,0.8785889293430621,0.8539823061876878
