metric,value
pixel_accuracy,0.9008359103732633
macro_f1_selected_classes,0.8817647231258375

class_name,TP,FP,FN,precision,recall,f1
Eagle,195796,6581,23799,0.9674814825794943,0.8916232154647923,0.9280046967420449
Laptop,1111331,87352,259408,0.9271266882069661,0.8107531776654723,0.8650435729165857
Dog,3157485,877551,217277,0.7825171820028353,0.9356170894421565,0.852245899718882
