metric,value
pixel_accuracy,0.9112331814236105
macro_f1_selected_classes,0.8821235589508408

class_name,TP,FP,FN,precision,recall,f1
Eagle,201818,8808,17777,0.9581818009172202,0.9190464263757864,0.9382061727572834
Laptop,1013093,47484,357646,0.9552281446797266,0.7390852671442139,0.8333700712047466
Dog,3064579,567057,310183,0.8438563226050165,0.9080874443886683,0.8747944328904925
